setup,metric,n_runs,spearman_vs_log_delay,p_approx
A,cli_n,103,0.7986637034887836,6.710126411911399e-28
A,cli_agg_gap,103,0.3597965637411429,0.00016553754608384475
A,cli_rel_spread,103,0.4122506470881327,1.1695046139033968e-05
A,cli_cos_global_mean,103,-0.4149529935809828,1.0063851372297467e-05
A,cli_cos_global_min,103,-0.6046115797560151,2.4903716764136906e-12
A,cli_dev_pair_cos,103,0.8113719678881,1.16670985283726e-29
A,cli_dev_eff_rank_frac,103,-0.5016313233366125,3.491050731294356e-08
A,cli_coherence,103,0.30394806955557296,0.0016973485373221776
A,cli_key_n,103,0.39820570807884464,2.4961567103707727e-05
A,cli_dev_key_share,103,0.3424510145045152,0.0003588043541340135
A,cli_dev_key_share_uniform,103,0.39820570807884464,2.4961567103707727e-05
A,cli_dev_key_over_uniform,103,-0.009161613719662723,0.9270009930123484
A,cli_key_agreement,103,-0.20770946613631458,0.035051459675158186
A,cli_neuron_freq_agree,103,-0.36287985347355506,0.0001435413374346104
A',cli_n,31,0.31048244357152555,0.08932076547415826
A',cli_agg_gap,31,-0.21695735567460964,0.2433841934397598
A',cli_rel_spread,31,-0.1885270702191078,0.31265386934255235
A',cli_cos_global_mean,31,0.1881238037587461,0.31371534950372093
A',cli_cos_global_min,31,0.16352454967668067,0.38259252628675045
A',cli_dev_pair_cos,31,0.388300572489485,0.03012495232903262
A',cli_dev_eff_rank_frac,31,-0.27413011844842083,0.13658556683952072
A',cli_coherence,31,0.010686561199585791,0.9549035698666481
A',cli_key_n,31,0.13898926761263944,0.4591461143649511
A',cli_dev_key_share,31,0.020768222708628988,0.9124800308635435
A',cli_dev_key_share_uniform,31,0.13898926761263944,0.4591461143649511
A',cli_dev_key_over_uniform,31,-0.49218671487148896,0.004347063351734322
A',cli_key_agreement,31,0.19546143103496674,0.29474607273497005
A',cli_neuron_freq_agree,31,-0.08944080860941406,0.6351117570960569
B,cli_n,26,0.5842089576166908,0.0013385200391045787
B,cli_agg_gap,26,-0.29709401709401706,0.14180471018354937
B,cli_rel_spread,26,0.20820512820512818,0.310901427003563
B,cli_cos_global_mean,26,-0.20820512820512818,0.310901427003563
B,cli_cos_global_min,26,-0.22529914529914527,0.2716126181756377
B,cli_dev_pair_cos,26,0.5425641025641026,0.0035589214658549996
B,cli_dev_eff_rank_frac,26,0.08102564102564101,0.696951380046821
B,cli_coherence,26,-0.34222222222222215,0.08722355813346853
B,cli_key_n,26,0.5762129574116932,0.001633931128403525
B,cli_dev_key_share,26,0.5323076923076923,0.004432038864024748
B,cli_dev_key_share_uniform,26,0.6086119174610459,0.0007007650667708304
B,cli_dev_key_over_uniform,26,0.012649572649572649,0.9516232544152603
B,cli_key_agreement,26,-0.2170940170940171,0.29006393991121326
C,cli_n,8,-0.38359763704583366,0.36600710915289114
C,cli_agg_gap,8,-0.4566116604886569,0.270274468819268
C,cli_rel_spread,8,-0.1902548585369404,0.6667081614716522
C,cli_cos_global_mean,8,0.1902548585369404,0.6667081614716522
C,cli_cos_global_min,8,0.32977508813069667,0.4436626471021228
C,cli_dev_pair_cos,8,-0.3805097170738808,0.3703099160262645
C,cli_dev_eff_rank_frac,8,0.48197897496024894,0.23992054452641276
C,cli_coherence,8,-0.32977508813069667,0.4436626471021228
C,cli_global_dominant_irrep_share,8,-0.7229684624403735,0.041012851210135
C,cli_dev_dominant_irrep_share,8,0.24098948748012447,0.5825389168191684
C,cli_dev_irrep_structure,8,-0.30440777365910465,0.4820846782697427
D,cli_n,33,0.7339125959909457,2.85141988147587e-07
D,cli_agg_gap,33,0.3913770053475936,0.023548144970841643
D,cli_rel_spread,33,0.6019385026737969,0.0001372102543060893
D,cli_cos_global_mean,33,-0.6012700534759359,0.00014043222539228715
D,cli_cos_global_min,33,-0.6176470588235294,7.810849789884e-05
D,cli_dev_pair_cos,33,0.4759358288770053,0.0045732374141628325
D,cli_dev_eff_rank_frac,33,-0.20153743315508021,0.2630605896447732
D,cli_coherence,33,-0.23495989304812837,0.18971346802452344
D,cli_global_dominant_irrep_share,33,-0.2613636363636364,0.1427711189264848
D,cli_dev_dominant_irrep_share,33,-0.023729946524064172,0.8965674751017254
D,cli_dev_irrep_structure,33,-0.43014705882352944,0.011737279531410034
E,cli_n,40,0.7653113393801837,8.41114585418003e-10
E,cli_agg_gap,40,0.19587783594746822,0.22740236313817208
E,cli_rel_spread,40,-0.8301802241666187,4.805917424505187e-13
E,cli_cos_global_mean,40,0.8240766482622154,1.134451941425653e-12
E,cli_cos_global_min,40,0.7859527741516343,1.1014869055908824e-10
E,cli_dev_pair_cos,40,0.5987138456380907,2.6219212530482438e-05
E,cli_dev_eff_rank_frac,40,-0.27165607832983013,0.09008153367316589
E,cli_coherence,40,0.41898701054535153,0.006613050147823426
