setup,axis,family,cell,phase,metric,n,median,q25,q75
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_n,27,20.0,20.0,20.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_agg_gap,27,8.875077802005062e-06,7.974338276090496e-06,9.493457272865173e-06
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_rel_spread,27,0.009244160106173311,0.008339304779294777,0.009896233899204979
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_cos_global_mean,27,0.9999572758564665,0.9999510362211734,0.999965215807882
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_cos_global_min,27,0.9999549266091456,0.9999486004990694,0.9999632661913425
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_dev_pair_cos,27,-0.05262540491910232,-0.052626606141239096,-0.052624037382107205
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_dev_eff_rank_frac,27,0.9997399557161719,0.9997197435990488,0.9997739450642685
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_coherence,27,9.251886250686533e-07,9.078619331546654e-07,9.290607966382889e-07
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_key_n,27,43.0,42.0,43.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_share,27,0.895086470385778,0.8750856236408118,0.8957984634131526
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_share_uniform,27,0.8958333333333334,0.875,0.8958333333333334
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_over_uniform,27,0.9998656668862923,0.999377841875302,1.000497626556002
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_key_agreement,27,2.507289028443973e-29,2.195391593730356e-29,3.062660673200251e-29
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,delay_or_stalled,cli_neuron_freq_agree,27,0.996484375,0.994921875,0.9984375
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_n,73,20.0,20.0,20.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_agg_gap,73,1.6858744492624711e-06,1.0033872718219736e-06,3.4694826410507373e-06
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_rel_spread,73,0.0017593116876998814,0.0010567642680901182,0.003671471800132488
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_cos_global_mean,73,0.9999984524332213,0.999993260256403,0.999999441627569
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_cos_global_min,73,0.9999983129579899,0.999992942689719,0.9999993701462917
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_dev_pair_cos,73,-0.05260789193486223,-0.05262248966158402,-0.0525867660871435
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_dev_eff_rank_frac,73,0.9993312843349375,0.9990246768621716,0.9995611549323272
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_coherence,73,9.141042683923008e-07,8.995952243919e-07,9.252230233832231e-07
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_key_n,73,42.0,42.0,42.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_dev_key_share,73,0.8752027897449914,0.8742724693367886,0.8763223839202433
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_dev_key_share_uniform,73,0.875,0.875,0.875
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_dev_key_over_uniform,73,1.0001142424880023,0.9991420278645958,1.000922270694101
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_key_agreement,73,7.128198265542304e-28,1.5859208276591116e-28,1.918660873466066e-27
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,post_cross,cli_neuron_freq_agree,73,1.0,1.0,1.0
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_n,44,50.0,50.0,50.0
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_agg_gap,44,5.350732320319963e-06,4.71710887473202e-06,7.338637006782626e-06
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_rel_spread,44,0.009003225728127411,0.00803289397907897,0.012253431316267563
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_cos_global_mean,44,0.999959472391905,0.9999249317305576,0.9999677383969443
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_cos_global_min,44,0.9999569452940049,0.9999198758250604,0.9999651056938127
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_dev_pair_cos,44,-0.020402360859793425,-0.02040373574192754,-0.020401320296325683
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_dev_eff_rank_frac,44,0.9992984234597111,0.9992138384530225,0.9993704423298657
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_coherence,44,3.4940170021501245e-07,3.4475132689988506e-07,3.5501628448792473e-07
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_key_n,44,42.5,42.0,43.0
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_share,44,0.8851679773981828,0.8747912783817047,0.8955632968866888
A,K,0.25|wd0.0,boundary K50 E5 f1 iid fedavg,delay_or_stalled,cli_dev_key_share_uniform,44,0.8854166666666667,0.875,0.8958333333333334
