setup,metric,n_crossed,n_memorised_not_crossed,rho_memo_vs_log_delay,p_memo_delay,n_memo,rho_memo_vs_log_tcross,rho_cross_vs_log_delay,p_cross_delay,n_cross,rho_cross_vs_log_tcross,auc_memo_crossed_vs_not
A,fn_loss_tr,52,9,0.02954510484324027,0.8361067449262933,52,-0.3909376670975206,0.5010695856120589,0.00011566675786899857,52,0.8511283709034045,0.6004273504273504
A,fn_acc_tr,52,9,0.09754596120240387,0.4933439782267861,52,-0.3491037109600947,0.46135686575741675,0.00047720487334799354,52,-0.38411244460136834,0.8344017094017094
A,fn_margin_tr,52,9,0.28510384818339524,0.040111259488353326,52,0.6842798509819586,-0.5005565013021908,0.00011795447118855974,52,-0.7195476011575141,0.4166666666666667
A,fn_entropy_tr,52,9,-0.36794776817299896,0.006885495425895633,52,-0.7367584167729544,0.42786955740420457,0.001369509466844764,52,0.7285675954448381,0.5256410256410257
A,fn_loss_te,52,9,0.9155989509596919,8.495594870593746e-28,52,0.5362835466089005,0.8082360591197841,4.047564011640419e-15,52,0.91854320972383,0.6282051282051282
A,fn_acc_te,52,9,-0.09177644697306499,0.5194146130276448,52,0.2887834943552125,-0.6239152027452777,3.059696422977284e-07,52,-0.9598500848542967,0.8279914529914529
A,fn_margin_te,52,9,-0.8725426259565907,5.1809650726549235e-21,52,-0.5228176783600521,-0.6710715202817019,1.2791275880600223e-08,52,-0.914439326067038,0.5128205128205128
A,fn_entropy_te,52,9,-0.420802251248085,0.0016856443201099004,52,-0.7914038312955519,0.21066836273935022,0.13436866367784595,52,0.46124789400477284,0.3034188034188034
A,fn_gap_loss,52,9,0.8381232201696032,1.834405308923098e-17,52,0.4599342110773345,0.9600662578149305,2.7562025653228533e-42,52,0.6392226283334308,0.4188034188034188
A,fn_gap_acc,52,9,0.033523983115230464,0.814398235023818,52,-0.38051492235329665,0.676499820839955,8.490324438840037e-09,52,0.9569244996561752,0.7264957264957265
A,fn_class_acc_gini,52,9,0.14728727052426152,0.2990071420776577,52,-0.23841101548440058,0.5755432884954228,4.423784230745754e-06,52,0.9571900227006003,0.2032967032967033
A,w_W1_fro,52,9,0.44531442393972126,0.0008026404276511771,52,0.7928617727345778,0.4533955018201444,0.0006198807102847919,52,0.7336974500158278,0.7029914529914529
A,w_W1_spec,52,9,0.5226618836523431,4.907989411203646e-05,52,0.8804967883223217,0.4985041640627182,0.00012752198878563585,52,0.825179856531814,0.7008547008547008
A,w_W1_stable_rank,52,9,-0.3699765444407497,0.00655248624495928,52,-0.7885441451373281,-0.4482219016956407,0.0007319838768553562,52,-0.8350548265809695,0.8803418803418803
A,w_W1_eff_rank,52,9,-0.2620578112651514,0.06035151599446825,52,-0.5253826056455471,-0.5264672589505318,4.190523490094953e-05,52,-0.8645514903641615,0.8846153846153846
A,w_W1_sv_gini,52,9,0.31682956134357504,0.02162831694144133,52,0.4886613966748778,0.5591336266788032,9.824374123542546e-06,52,0.8935351686902543,0.11752136752136752
A,w_W1_entry_gini,52,9,0.5965887812991773,1.4731887547476404e-06,52,0.7186071278194993,0.5198826769738906,5.5010057392916236e-05,52,0.8575834379052335,0.05555555555555555
A,w_W1_row_gini,52,9,0.20745708929001705,0.14059250246481805,52,0.6096832157621473,-0.5566964762069295,1.10145789313614e-05,52,-0.18617097213884112,0.2094017094017094
A,w_W1_row_pr,52,9,-0.1561486583032033,0.2704370959203699,52,-0.5635145246232385,0.5016254269477494,0.00011323393111680369,52,0.11071936115719828,0.7863247863247863
