setup,axis,series,n,median_lead_frac_delay,q25,q75,frac_leading
A,E,test_loss,27,-0.3,-0.3398876404494382,-0.27624560208829874,0.07407407407407407
A,E,weight_norm_layer1,27,0.34782608695652173,0.3190680766688698,0.6291208791208791,0.9629629629629629
A,E,weight_norm_total,15,0.3541666666666667,0.3160200250312891,0.3942148760330578,0.8666666666666667
A,E,ipr,27,-0.2765957446808511,-0.3798377028714107,-0.2215684513115343,0.07407407407407407
A,K,test_loss,86,-0.29016129032258065,-0.3190010986726846,-0.28125,0.046511627906976744
A,K,weight_norm_layer1,86,0.34393939393939393,0.32620020429009194,0.39,1.0
A,K,weight_norm_total,15,0.3541666666666667,0.34846922997629115,0.3571256038647343,1.0
A,K,ipr,86,-0.2508682328907048,-0.29125,-0.20284673502428496,0.08139534883720931
A,algorithm,test_loss,105,-0.25,-0.33962264150943394,-0.14285714285714285,0.02857142857142857
A,algorithm,weight_norm_layer1,105,0.1875,-7.5,0.7272727272727273,0.5714285714285714
A,algorithm,weight_norm_total,105,-0.027777777777777776,-1.0,0.625,0.42857142857142855
A,algorithm,ipr,105,-0.3333333333333333,-0.5277777777777778,-0.25,0.08571428571428572
A,all,test_loss,333,-0.2975206611570248,-0.34408602150537637,-0.2608695652173913,0.02702702702702703
A,all,weight_norm_layer1,333,0.34615384615384615,0.10638436634351656,0.6428571428571429,0.7687687687687688
A,all,weight_norm_total,232,0.3490566037735849,-0.1456043956043956,0.6436548846342661,0.6724137931034483
A,all,ipr,333,-0.27983539094650206,-0.42857142857142855,-0.21649484536082475,0.07207207207207207
A,centralised,test_loss,41,-0.7222222222222222,-0.875,-0.2978723404255319,0.0
A,centralised,weight_norm_layer1,41,-0.375,-0.6842105263157895,0.3258426966292135,0.3170731707317073
A,centralised,weight_norm_total,23,0.33707865168539325,-0.24242424242424243,0.5526374113475178,0.5652173913043478
A,centralised,ipr,41,-0.7894736842105263,-1.0,-0.24719101123595505,0.12195121951219512
A,dirichlet,test_loss,44,-0.29969029739934666,-0.33695652173913043,-0.28324113065257484,0.0
A,dirichlet,weight_norm_layer1,44,0.6163787496422717,0.40655901535872085,0.8267644879097884,1.0
A,dirichlet,weight_norm_total,44,0.6377650908393916,0.39752029844195746,0.8018663897410491,1.0
A,dirichlet,ipr,44,-0.2379862700228833,-0.2767537392037076,-0.1958522577079278,0.022727272727272728
A,f,test_loss,15,-0.32258078736870777,-0.33775446367444606,-0.29427287404375535,0.0
A,f,weight_norm_layer1,15,0.8116756007568524,0.08088195162131011,0.83400066293312,0.8
A,f,weight_norm_total,15,0.6542825463531756,0.06066046219900813,0.7488755329893328,0.8
A,f,ipr,15,-0.35135222353552964,-0.42556771594253084,-0.33095070981597924,0.0
A,partition,test_loss,15,-0.30327868852459017,-0.3403638151425762,-0.29016129032258065,0.0
A,partition,weight_norm_layer1,15,0.3333333333333333,0.2885274985215849,0.3361743798055999,1.0
A,partition,weight_norm_total,15,0.3225806451612903,0.2789473684210526,0.34469751922239955,0.9333333333333333
A,partition,ipr,15,-0.29213483146067415,-0.40949820788530467,-0.2150442477876106,0.0
A',K,test_loss,15,-0.14469453376205788,-0.16669085631349784,-0.07471563788832664,0.2
A',K,weight_norm_layer1,15,0.9421221864951769,-0.020091019417475726,0.9525724275724277,0.7333333333333333
A',K,weight_norm_total,15,0.9421221864951769,0.8389427163012069,0.950949050949051,0.9333333333333333
A',K,ipr,15,-0.01929260450160772,-0.059655561829474874,0.0037171415914295167,0.26666666666666666
A',all,test_loss,71,-0.2727272727272727,-0.5277777777777778,-0.07941333054464905,0.1267605633802817
A',all,weight_norm_layer1,71,0.0,-0.47516961405850294,0.625487900078064,0.49295774647887325
A',all,weight_norm_total,71,0.14285714285714285,-0.4,0.8078570373652341,0.5774647887323944
A',all,ipr,71,-0.21311475409836064,-0.42857142857142855,-0.021757772533990975,0.14084507042253522
A',centralised,test_loss,39,-0.4,-0.8,-0.2928571428571428,0.02564102564102564
A',centralised,weight_norm_layer1,39,-0.1111111111111111,-0.45,0.23793103448275862,0.4358974358974359
A',centralised,weight_norm_total,39,0.0,-0.4,0.3905172413793103,0.48717948717948717
A',centralised,ipr,39,-0.4,-0.5529556650246306,-0.2768199233716475,0.07692307692307693
A',partition,test_loss,17,-0.05413105413105413,-0.20987654320987653,0.012738853503184714,0.29411764705882354
A',partition,weight_norm_layer1,17,-0.34134615384615385,-0.9506172839506173,0.9507692307692308,0.4117647058823529
A',partition,weight_norm_total,17,-0.255278310940499,-1.068075117370892,0.9415384615384615,0.47058823529411764
A',partition,ipr,17,-0.02564102564102564,-0.15151515151515152,-0.009596928982725527,0.17647058823529413
B,E,test_loss,13,0.15625,0.12395309882747069,0.25835866261398177,0.9230769230769231
B,E,weight_norm_total,13,0.49093904448105435,0.025806451612903226,0.662613981762918,0.7692307692307693
B,E,embed_ipr,13,0.03586206896551724,-0.03333333333333333,0.071875,0.6153846153846154
B,K,test_loss,28,0.15037593984962405,0.08844081547873026,0.2924107142857143,0.8571428571428571
B,K,weight_norm_total,28,-0.03489884902618326,-0.23333333333333334,0.02770691609977324,0.32142857142857145
B,K,embed_ipr,28,-0.14636752136752137,-0.625,0.0,0.21428571428571427
B,all,test_loss,131,0.2773109243697479,0.12447654941373534,0.47019286966686147,0.8931297709923665
B,all,weight_norm_total,131,0.05537459283387622,-0.26244945118428653,0.457002457002457,0.5801526717557252
B,all,embed_ipr,131,-0.18181818181818182,-0.7300242130750605,-0.010125013112259124,0.183206106870229
