setup,axis,family,cell,moment,metric,n,median,q25,q75
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_step_gap,5,0.0,0.0,0.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_rel_dist,5,0.48039326071739197,0.47960585355758667,0.5143487453460693
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_cos,5,0.8867698907852173,0.8698475956916809,0.8872129917144775
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_first_rel_dist,5,0.4840199053287506,0.48247861862182617,0.5143130421638489
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_pred_agree_te,5,0.9589060544967651,0.907751202583313,0.9815785884857178
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_twin_acc_te,5,99.97166442871094,99.90081024169922,100.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_fed_acc_te,5,95.86226654052734,90.74678039550781,98.1578598022461
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_cka_te,5,0.8002100167499414,0.7503601435926444,0.8038663096767334
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_pred_agree_grid,5,0.9691784977912903,0.9308109283447266,0.9861834645271301
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_clock_key_jaccard,5,0.8484848484848485,0.8421052631578947,0.8529411764705882
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,cross,tw_clock_energy_cos,5,0.9514323559780646,0.9512029214560552,0.953418285741464
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_step_gap,5,0.0,0.0,0.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_rel_dist,5,0.8252547979354858,0.813591718673706,0.8302748203277588
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_cos,5,0.6724287867546082,0.6677907705307007,0.6810116171836853
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_first_rel_dist,5,0.8298014402389526,0.8074014782905579,0.8379911780357361
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_pred_agree_te,5,1.0,1.0,1.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_twin_acc_te,5,100.0,100.0,100.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_fed_acc_te,5,100.0,100.0,100.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_cka_te,5,0.7347709681950512,0.7297465382906376,0.7413309546081683
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_pred_agree_grid,5,1.0,1.0,1.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_clock_key_jaccard,5,0.8723404255319149,0.8333333333333334,0.8723404255319149
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,end,tw_clock_energy_cos,5,0.9999773252731983,0.9999714315409233,0.999985468099362
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,first,tw_step_gap,5,0.0,0.0,0.0
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,first,tw_rel_dist,5,0.10535066574811935,0.10494577884674072,0.10945793241262436
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,first,tw_cos,5,0.9946213960647583,0.9941880106925964,0.9946624040603638
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,first,tw_first_rel_dist,5,0.10435928404331207,0.10429832339286804,0.1084904670715332
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,first,tw_pred_agree_te,5,0.8077086806297302,0.796797513961792,0.8105427622795105
A,K,0.25|wd0.0,boundary K20 E5 f1 iid fedavg,first,tw_twin_acc_te,5,1.5162250995635986,1.5020546913146973,2.2672524452209473
