id,setup,mode,group,arm,dataset,model,optimizer,loss,alpha,n_train,hidden_width,weight_decay,lr,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,strategy,server_lr,proximal_mu,num_rounds,epochs,grok_threshold,t_memo,t_first_cross,t_grok,grokked,peak_train_acc,final_acc,steps_run,axis,path,step_a,step_b,barrier_train_loss,barrier_rel,min_test_acc_path,min_test_acc_lambda,test_acc_mid,test_acc_start,test_acc_end,train_loss_start,train_loss_end
cent_008bde8c6684,D,centralized,d_internals,,s5,groknet,adamw,ce,0.225,1000,256,1.0,0.001,1011,,,,,,,,,,150000,85.0,200,inf,inf,False,100.0,81.23655915260315,150000.0,centralised,init_to_end,0.0,150000.0,0.9326516354032721,0.3896191978956467,0.9587813019752502,0.0,78.33332824707031,0.9587813019752502,81.23655700683594,4.787497520446777,5.972402504994534e-06
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,memo_to_end,500.0,40000.0,1.7964186400944526,34.22012269522258,12.526455879211426,0.0,52.15608596801758,12.526455879211426,99.88095092773438,0.10498446971178055,7.4764652708836365e-06
cent_00b37bf30d15,D,centralized,d_internals,,s5,groknet,adamw,ce,0.475,1000,256,1.0,0.001,789,,,,,,,,,,40000,85.0,275,8225,8225,True,100.0,99.88095164299011,40000.0,centralised,init_to_end,0.0,40000.0,0.9259052735399109,0.386801679552956,0.8068783283233643,0.0,99.81481170654297,0.8068783283233643,99.88095092773438,4.7874860763549805,7.4764652708836365e-06
cent_010899c81daf,D,centralized,d_internals,,s5,groknet,adamw,ce,0.2,1000,256,1.0,0.001,456,,,,,,,,,,150000,85.0,200,inf,inf,False,100.0,66.18055701255798,150000.0,centralised,init_to_end,0.0,150000.0,0.932438971740976,0.3895290909158703,0.7986111640930176,0.0,63.22916793823242,0.7986111640930176,66.18055725097656,4.787513256072998,5.794422577309888e-06
cent_0113e534959b,D,centralized,aggregation,cent_reduced,s5,groknet,adamw,ce,0.06,1000,256,1.0,0.001,42,,,,,,,,,,500000,85.0,1000,inf,inf,False,100.0,0.15514184487983584,500000.0,centralised,init_to_end,0.0,500000.0,0.9379055230998121,0.3918167898012196,0.14775413274765015,0.7000000000000001,0.16252954304218292,0.7461583614349365,0.15514184534549713,4.787466526031494,3.2685918540664716e-06
cent_019daf113e5f,C,centralized,aggregation,cent_reduced,s5,transformer,adamw,ce,0.02,1000,256,1.0,0.001,123,,,,,,,,,,400000,85.0,800,inf,inf,False,100.0,0.43225623667240143,400000.0,centralised,init_to_end,0.0,400000.0,2.0161632367721722,0.8409705402036687,0.43225622177124023,1.0,0.807823121547699,0.9353742003440857,0.43225622177124023,4.7948479652404785,7.015960363787599e-07
cent_05763dcd6cbf,D,centralized,d_internals,,s5,groknet,adamw,ce,0.45,1000,256,1.0,0.001,42,,,,,,,,,,40000,85.0,275,9950,9950,True,100.0,99.94949698448181,40000.0,centralised,memo_to_end,500.0,40000.0,1.86863144683266,34.20686403017104,7.840909957885742,0.0,45.88383865356445,7.840909957885742,99.94949340820312,0.10924764722585678,7.117851964721922e-06
cent_05763dcd6cbf,D,centralized,d_internals,,s5,groknet,adamw,ce,0.45,1000,256,1.0,0.001,42,,,,,,,,,,40000,85.0,275,9950,9950,True,100.0,99.94949698448181,40000.0,centralised,init_to_end,0.0,40000.0,0.9261212929891371,0.3868917205591995,0.6818182468414307,0.0,99.81061553955078,0.6818182468414307,99.94949340820312,4.78748893737793,7.117851964721922e-06
cent_065de18b2680,D,centralized,d_internals,,s5,groknet,adamw,ce,0.6,1000,256,1.0,0.001,456,,,,,,,,,,40000,85.0,275,975,975,True,100.0,100.0,40000.0,centralised,memo_to_end,500.0,40000.0,1.800652047393669,36.688877528498246,39.60069274902344,0.30000000000000004,66.94444274902344,43.4375,100.0,0.09815006703138351,7.858132448745891e-06
cent_065de18b2680,D,centralized,d_internals,,s5,groknet,adamw,ce,0.6,1000,256,1.0,0.001,456,,,,,,,,,,40000,85.0,275,975,975,True,100.0,100.0,40000.0,centralised,init_to_end,0.0,40000.0,0.9241140156223997,0.3860522265090508,0.8159722089767456,0.0,99.96527862548828,0.8159722089767456,100.0,4.787499904632568,7.858132448745891e-06
cent_0827afe57247,D,centralized,d_internals,,s5,groknet,adamw,ce,0.225,1000,256,1.0,0.001,456,,,,,,,,,,150000,85.0,200,inf,inf,False,100.0,80.33154010772705,150000.0,centralised,init_to_end,0.0,150000.0,0.9269973257132733,0.3872560384707859,0.7526881694793701,0.0,77.31182861328125,0.7526881694793701,80.33154296875,4.787510395050049,6.046908310963772e-06
